"time,s\cell#",4,69,92,116,123,128,136,143,147,153,161,165,170,176,188,192,208,231,273,354,408,543,570,577
0.05,0.0181789994,-0.0247770008,-0.0065651,-0.0123880003,-0.0088865003,-0.0129140001,-0.0155490004,-0.0067353002,-0.012197,-0.0187849998,-0.0070560998,0.0044271001,0.0415429994,0.012902,0.0095287999,-0.001906,0.0432559997,-0.0054120999,-0.0018349,-0.0049125999,-0.0065859002,-0.0052964999,-0.0074069998,-0.0026165
0.1,0.0173649993,-0.0220710002,-0.0062458999,-0.0134009998,-0.0063723,-0.0132550001,-0.0178069994,-0.0061252001,-0.0133109996,-0.0187170003,-0.0056453999,0.00090577,0.042803999,0.0105290003,0.0124300001,-0.00035448,0.042603001,-0.0054233,-0.0030398001,-0.0037048999,-0.0062573999,-0.0057492,-0.0073523,-0.0032645999
0.15,0.0172780007,-0.0222159997,-0.0047030002,-0.0097808996,-0.0057613002,-0.0116569996,-0.0131160002,-0.0104419999,-0.0118699996,-0.0172949992,-0.0019253,0.00071057,0.0450190008,0.0111769997,0.0126560004,0.001288,0.0413089991,-0.0036184001,-0.00019509,-0.001868,-0.0059737,-0.0058018998,-0.0048286999,-0.0032454999
0.2,0.0139020002,-0.0214150008,-0.0034857001,-0.0108030001,-0.0039956998,-0.0144079998,-0.0158750005,-0.0098224003,-0.0102260001,-0.0195320006,0.00045274,0.0015364001,0.037955001,0.0083024995,0.0103399996,0.0016123001,0.0432489999,-0.0062783998,-0.0010353,-0.0062505999,-0.0060204999,-0.0055678999,-0.0062604998,-0.0034747
0.25,0.0158210006,-0.0229199994,-0.00075146,-0.0110769998,-0.0010413,-0.0128840003,-0.0146390004,-0.0087607,-0.0134540005,-0.0172550008,-0.0066920999,0.0044960999,0.039340999,0.0099734999,0.0076108002,0.0054188999,0.0393580012,-0.0047028,-0.0019262,-0.0066958,-0.0082035996,-0.0044998,-0.0048083998,-0.0024290001
0.3,0.0139819998,-0.0217390005,-0.0029303001,-0.0123589998,0.0022281001,-0.0134159997,-0.0167880002,-0.0111530004,-0.0109740002,-0.0154489996,-0.0019737999,0.0010358,0.0407969989,0.0076140999,0.0076577002,0.0016956,0.0371269993,-0.005448,-0.0026010999,-0.0082297996,-0.0057759001,-0.0056464998,-0.0080693001,-0.0024834001
0.35,0.0121630002,-0.0192370005,0.0010471001,-0.0104189999,0.0023562999,-0.0130730001,-0.0162439998,-0.0093235997,-0.0111619998,-0.015439,-0.000040055,-0.00051726,0.0426229984,0.0116649996,0.0103660002,0.0032569999,0.035335999,-0.0075723999,-0.0013156,-0.0038433,-0.0048417998,-0.0067817001,-0.0051626,-0.0039651999
0.4,0.0138100004,-0.0182109997,-0.0040957001,-0.0128610004,0.0050474,-0.0165330004,-0.0180229992,-0.0064643002,-0.0088433996,-0.0186039992,0.0012204,-0.0009227,0.0398579985,0.009695,0.0081663001,0.0040330999,0.0365259983,-0.005566,-0.0036347001,-0.0037909001,-0.0075539998,-0.0055207,-0.0072393999,-0.0014552
0.45,0.0127189998,-0.0166480001,-0.0057497001,-0.013142,0.0041888002,-0.0133779999,-0.0191530008,-0.0098425997,-0.0095734997,-0.0204349998,-0.0028742999,-0.0013793,0.0383620001,0.0108939996,0.0088037001,0.0058374,0.0340289995,-0.0086998995,-0.0014761999,-0.0044245999,-0.0060116001,-0.0064693,-0.0073144999,-0.0014047
0.5,0.0126710003,-0.0165710002,0.0013205,-0.0137799997,0.0085822996,-0.0184700005,-0.0187710002,-0.0139720002,-0.0116429999,-0.0171080008,-0.0052752001,0.0037753,0.0415059999,0.0095141996,0.0068648001,0.0020274001,0.0309020001,-0.0060363002,-0.0026318,-0.0048683998,-0.0057708002,-0.0050153001,-0.0057629999,-0.00097012
0.55,0.0108449999,-0.0159629993,-0.003086,-0.0134079996,0.0098452996,-0.0174480006,-0.0177519992,-0.0104010003,-0.0141460001,-0.0182969999,-0.0033907001,0.0008888,0.0391490012,0.0098379003,0.0096078999,0.0021813,0.0315559991,-0.0059575001,-0.0027312001,-0.00089288,-0.0052048001,-0.0052336999,-0.0061424002,-0.001699
0.6,0.0100250002,-0.0159249995,-0.00025318,-0.012104,0.0089729,-0.0192220006,-0.0147879999,-0.0114249997,-0.0079349,-0.0162029993,-0.0042695999,0.0034638001,0.0371679999,0.0086065,0.0092864996,0.002511,0.0296080001,-0.0061126999,-0.0050809002,-0.006025,-0.0064125,-0.0060296999,-0.0065118,-0.000029529
0.65,0.0074534998,-0.0158510003,-0.0061337999,-0.0137430001,0.0108289998,-0.0181450006,-0.0187899992,-0.0118819997,-0.0110440003,-0.0110780001,-0.0027902999,-0.0018678,0.0398400016,0.011891,0.0058243,0.0037129,0.0284490008,-0.0063081002,-0.001716,-0.0041983998,-0.0054834001,-0.0042359,-0.0051265,0.00075697
0.7,0.010671,-0.0146150002,-0.0023727999,-0.0144710001,0.0106950002,-0.0110269999,-0.0203869995,-0.0092165004,-0.0144549999,-0.0113829998,-0.0071186,0.0049644001,0.0376549996,0.0115,0.0047084,0.0037754001,0.0304869991,-0.0067606,0.0014065,-0.0063721002,-0.004828,-0.0069380999,-0.0038951,-0.0002889
0.75,0.0072098998,-0.0142360004,-0.0024329999,-0.0143489996,0.0109630004,-0.0156350005,-0.0175289996,-0.0105969999,-0.0124260001,-0.0173129998,-0.0054583,0.0033611001,0.039489001,0.0142090004,0.0044793999,0.0034535001,0.0293060001,-0.0055964999,0.00039684,-0.0037984999,-0.0050043999,-0.0060800002,-0.0065013999,0.00056326
0.8,0.0073136999,-0.0125829997,0.000046478,-0.0138830002,0.0101490002,-0.0164800007,-0.0195599999,-0.0112929996,-0.0096751004,-0.0167200007,-0.0044403998,0.0011604,0.0373999998,0.0114970002,0.0048743002,0.0037417,0.0252010003,-0.0073621999,-0.0026312999,-0.0033781,-0.0054462999,-0.0054382002,-0.0056627002,0.00041662
0.85,0.0050841002,-0.013913,-0.0022515,-0.0122990003,0.010249,-0.0165369995,-0.0172259994,-0.0136169996,-0.0107730003,-0.0190629996,-0.0064372001,0.0034695,0.0395019986,0.0105569996,0.0073024998,0.0014968,0.0251770001,-0.0028435001,0.0011598,-0.0036164001,-0.0065587,-0.0051926002,-0.0048258002,-0.00011542
0.9,0.0063796001,-0.0116809998,-0.005163,-0.0124679999,0.0111349998,-0.0191210005,-0.016632,-0.0125200003,-0.0135970004,-0.0180530008,-0.0066053001,0.0054929,0.0355079994,0.0100539997,0.0027081999,0.0023407999,0.0265960004,-0.0043576001,0.00095527,-0.0028746,-0.0053337002,-0.0044430001,-0.0050300001,-0.00078772
0.95,0.004743,-0.0132619999,0.00083985,-0.0138320001,0.0116259996,-0.0190500002,-0.0179890003,-0.0146310003,-0.0087633003,-0.0186470002,-0.0069929999,0.0068100998,0.0352489986,0.0107169999,0.0022827,0.0020441001,0.0243309997,-0.0065957,0.00025918,-0.0024315999,-0.0044487002,-0.0048130001,-0.0037839999,0.00019735
1,0.0035987,-0.0109160002,0.0011111,-0.0130979996,0.0091025,-0.0209430009,-0.0165260006,-0.0086679002,-0.0072988002,-0.0219289996,-0.0040686,0.0091319997,0.030545,0.0085471002,0.0015896,0.0016842,0.0259719994,-0.0023791001,0.00051632,-0.0036726999,-0.0073515,-0.002778,-0.0013936,-0.0019162
1.05,0.0029569999,-0.0145450002,0.0025204001,-0.0085217999,0.0078475997,-0.0194700006,-0.0157619994,-0.0132609997,-0.0095133996,-0.0203750003,-0.0032845,0.0082889004,0.0277420003,0.0105839996,0.0029976,0.00063899,0.0262790006,-0.0044657998,-0.001367,-0.0045904,-0.0064365002,-0.0017245,0.0050285999,0.0003843
1.1,0.0049239001,-0.0184330009,0.0065079001,-0.0097695002,0.0090234,-0.0199580006,-0.0132139996,-0.009695,-0.0093464004,-0.021861,-0.0047785002,0.0095268004,0.0286219995,0.0132780001,0.00021403,0.0024067999,0.0250799991,-0.0039459998,-0.0041121002,-0.0100739999,-0.0075205001,-0.0032645999,0.0097976997,-0.0018069
1.15,0.0019375,-0.0159840006,0.0078309998,-0.0036436999,0.010311,-0.0198960006,-0.0018427999,-0.0128690004,-0.0064638001,-0.0184450001,-0.0022547999,0.0095488997,0.024673,0.0132919997,-0.00017344,0.0025587999,0.0270530004,-0.0069833999,-0.0032301,-0.0072442,-0.0077455002,-0.0034413999,0.0124209998,-0.0024286001
1.2,0.0014514,-0.0170770008,0.0037948999,0.00079805,0.0078924997,-0.0207529999,0.0116079999,-0.0115510002,-0.0060806,-0.0268469993,0.0036116,0.0106539996,0.024952,0.0141200004,0.00038876,0.0029925001,0.0268070009,-0.0061434,-0.0065509002,-0.0056814998,-0.0082083996,-0.0030306999,0.015346,-0.0018216
1.25,-0.0012419,-0.0178469997,0.0064936001,0.0041632,0.0061907,-0.0222200006,0.0267709997,-0.0105339997,-0.0087828999,-0.0239179991,0.0223949999,0.0094825998,0.0225499999,0.0105410004,0.0053969999,0.0023191001,0.0275829993,-0.0087901996,-0.0073290002,-0.0066833999,-0.0086268,-0.0032744,0.0198040009,-0.0016564
