,neuron,score
96N,96N,0.21116767581237672
251N,251N,0.210619862192428
588N,588N,0.20905995147114187
532N,532N,0.20902894545665232
214N,214N,0.20767142100910094
196N,196N,0.20741349664308067
31N,31N,0.2073584585914262
576N,576N,0.2071044238423584
83N,83N,0.20621645162564184
373N,373N,0.20607348541365209
256N,256N,0.20595520640883502
168N,168N,0.20587615687039862
66N,66N,0.205693733973262
472N,472N,0.2050346427387889
220N,220N,0.2045932289578314
432N,432N,0.20448528018299605
129N,129N,0.20447361663477948
249N,249N,0.20433137312303432
385N,385N,0.20361283922956874
519N,519N,0.20339195480414612
254N,254N,0.20325585789176762
235N,235N,0.20212849313039677
87N,87N,0.20206266134707154
25N,25N,0.2014135440908679
359N,359N,0.20133935981637127
470N,470N,0.2012322310224322
93N,93N,0.20108948615283856
348N,348N,0.20103692180388144
521N,521N,0.20062741426297045
71N,71N,0.20060323862954188
421N,421N,0.20049308128334975
441N,441N,0.20029688307513913
180N,180N,0.19956544940979626
207N,207N,0.1992851516208703
499N,499N,0.19892215041695835
508N,508N,0.19861362587171685
398N,398N,0.1985805540250547
504N,504N,0.19857331975976525
528N,528N,0.19850260436623474
221N,221N,0.19826837285171184
291N,291N,0.19760119017306002
114N,114N,0.19737049863498704
524N,524N,0.1972328054291974
535N,535N,0.19680777075691233
259N,259N,0.196732627694945
73N,73N,0.19586700321931536
547N,547N,0.19580274761069982
334N,334N,0.19547089993817263
367N,367N,0.19527501157718635
18N,18N,0.19446170769363114
158N,158N,0.19370160563732072
288N,288N,0.19352057939401424
444N,444N,0.19300885931643633
479N,479N,0.19203215018156006
60N,60N,0.1913133126664362
64N,64N,0.19127369965529314
326N,326N,0.19112188906858824
378N,378N,0.19092968507062497
350N,350N,0.19056410020845277
152N,152N,0.1901604835193334
515N,515N,0.18982676579804197
333N,333N,0.18946074386074951
346N,346N,0.1894296062715564
527N,527N,0.1888323978555858
306N,306N,0.18855966903260707
578N,578N,0.18842528460745026
352N,352N,0.18801329049723367
548N,548N,0.18790436146250536
5N,5N,0.18718542243595498
510N,510N,0.18712390729393777
514N,514N,0.18669409661784683
161N,161N,0.18582678053487042
542N,542N,0.18532259342194538
391N,391N,0.18509730109934067
121N,121N,0.18447977583144853
109N,109N,0.18426503071344874
137N,137N,0.18404461525891522
476N,476N,0.1838647857953128
271N,271N,0.18347026209995973
166N,166N,0.1830117627231734
294N,294N,0.18275425604060744
456N,456N,0.18256527853522553
122N,122N,0.18242656330276857
560N,560N,0.1810720252901293
587N,587N,0.18095668993177955
468N,468N,0.18048235528334944
400N,400N,0.18044746552231317
327N,327N,0.18032887530333985
433N,433N,0.1797583747567146
445N,445N,0.17972046263636918
467N,467N,0.17967776792327708
406N,406N,0.17949410641686978
549N,549N,0.1788552174836969
54N,54N,0.17769509677246192
473N,473N,0.17724765488390817
586N,586N,0.17681546415758914
526N,526N,0.17645560725903403
569N,569N,0.17567899470698797
451N,451N,0.17554363231738218
247N,247N,0.1749460529928898
34N,34N,0.17474247010516267
201N,201N,0.1744595140475842
62N,62N,0.1738956384381819
513N,513N,0.17299644327573907
448N,448N,0.1725915486869543
422N,422N,0.17253973080901477
366N,366N,0.17235380204446782
340N,340N,0.17078356295872715
426N,426N,0.1705341427541256
331N,331N,0.17031077983492246
227N,227N,0.1701756168036234
446N,446N,0.17008345159627147
